Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Lake Taylor Station,4521,H22721,-42.78135,172.27581,640,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Rain: Daily
Station,Date(NZST),Time(NZST),Amount(mm),SofG,Deficit(mm),Runoff(mm),Period(Hrs),Freq
Lake Taylor Station,20050101,0800,2.5,-,-,-,24,D
Lake Taylor Station,20050102,0800,1.8,-,-,-,24,D
Lake Taylor Station,20050103,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050104,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050105,0800,1.3,-,-,-,24,D
Lake Taylor Station,20050106,0800,9.4,-,-,-,24,D
Lake Taylor Station,20050107,0800,3.7,-,-,-,24,D
Lake Taylor Station,20050108,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050109,0800,2.7,-,-,-,24,D
Lake Taylor Station,20050110,0800,3.0,-,-,-,24,D
Lake Taylor Station,20050111,0800,0.7,-,-,-,24,D
Lake Taylor Station,20050112,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050113,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050114,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050115,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050116,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050117,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050118,0800,3.3,-,-,-,24,D
Lake Taylor Station,20050119,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050120,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050121,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050122,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050123,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050124,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050125,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050126,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050127,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050128,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050129,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050130,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050131,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050201,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050202,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050203,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050204,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050205,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050206,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050207,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050208,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050209,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050210,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050211,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050212,0800,10.3,-,-,-,24,D
Lake Taylor Station,20050213,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050214,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050215,0800,3.0,-,-,-,24,D
Lake Taylor Station,20050216,0800,6.0,-,-,-,24,D
Lake Taylor Station,20050217,0800,2.7,-,-,-,24,D
Lake Taylor Station,20050218,0800,20.9,-,-,-,24,D
Lake Taylor Station,20050219,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050220,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050221,0800,0.0,-,-,-,24,D
Lake Taylor Station,20050222,0800,0.0,-,-,-,24,D
